Id,Date,Time,CO2_(dinning-room),CO2_room,Relative_humidity_(dinning-room),Relative_humidity_room,Lighting_(dinning-room),Lighting_room,Meteo_Rain,Meteo_Sun_dusk,Meteo_Wind,Meteo_Sun_light_in_west_facade,Meteo_Sun_light_in_east_facade,Meteo_Sun_light_in_south_facade,Meteo_Sun_irradiance,Outdoor_relative_humidity_Sensor,Day_of_the_week,Indoor_temperature_room
0,13/03/2012,11:45,216.56,221.92,39.9125,42.415,81.665,113.52,0.0,623.36,1.42625,9690.24,12604.2,95436.8,758.88,48.375,2.0,17.8275
1,13/03/2012,12:00,219.947,220.363,39.9267,42.2453,81.7413,113.605,0.0,623.211,1.592,11022.0,10787.2,95436.8,762.069,47.808,2.0,18.1207
2,13/03/2012,12:15,219.403,218.933,39.772,42.2267,81.424,113.6,0.0,622.656,1.89133,13960.5,9669.63,95398.6,766.251,47.432,2.0,18.4367
3,13/03/2012,12:30,218.613,217.045,39.776,42.0987,81.5013,113.344,0.0,622.571,1.828,18511.2,9648.13,95360.3,766.037,47.024,2.0,18.7513
4,13/03/2012,12:45,217.714,216.08,39.7757,42.0686,81.4657,113.034,0.0,622.4,2.36071,26349.0,9208.32,95354.9,762.743,45.4743,2.0,19.0414
5,13/03/2012,13:00,218.389,216.011,39.8107,42.0347,81.2427,113.6,0.0,622.4,2.06333,36511.7,8694.78,95354.9,752.683,45.5467,2.0,19.2773
6,13/03/2012,13:15,218.155,215.829,39.8613,41.9947,81.36,112.981,0.0,622.4,2.23067,49288.5,8501.25,95354.9,740.949,44.968,2.0,19.5367
7,13/03/2012,13:30,216.661,215.296,39.824,41.9947,81.024,111.259,0.0,621.803,1.924,62253.7,8687.62,95174.7,721.109,45.1813,2.0,19.7307
8,13/03/2012,13:45,217.461,214.549,39.9587,42.1253,81.104,83.3547,0.0,620.651,2.51067,71453.4,8888.32,91848.7,699.392,45.416,2.0,19.9693
9,13/03/2012,14:00,215.349,213.909,39.94,42.0427,81.1813,83.36,0.0,620.309,2.65333,80076.8,9046.02,87217.5,677.675,45.0213,2.0,20.1407
10,13/03/2012,14:15,213.888,213.312,39.9813,42.1787,61.0693,83.6107,0.0,619.755,2.82667,86682.3,9182.21,81720.7,648.427,44.36,2.0,20.3267
11,13/03/2012,14:30,215.413,213.739,40.3587,42.7067,51.2373,59.952,0.0,619.712,2.49467,88648.4,9347.07,75380.1,615.68,44.7947,2.0,20.4713
12,13/03/2012,14:45,216.021,222.528,40.9107,41.5147,43.3733,52.824,0.0,619.328,2.466,91406.3,9712.64,68515.2,582.869,43.984,2.0,20.9093
13,13/03/2012,15:00,216.256,219.68,41.1987,40.956,36.2653,45.6747,0.0,619.243,2.432,90472.4,9963.52,60604.4,544.533,44.5467,2.0,21.4253
14,13/03/2012,15:15,213.173,219.285,41.88,40.6347,34.476,40.16,0.0,619.157,1.732,88391.7,9655.3,52794.7,503.744,44.7813,2.0,21.8467
15,13/03/2012,15:30,211.093,217.589,43.2213,40.8413,31.1267,32.248,0.0,618.944,1.89133,89134.4,8651.78,44743.3,460.523,45.6773,2.0,22.1573
16,13/03/2012,15:45,211.157,215.136,43.3653,40.8867,21.442,23.44,0.0,618.645,1.64267,88462.7,7906.3,36479.0,415.744,45.5173,2.0,22.404
17,13/03/2012,16:00,209.419,214.24,42.744,40.3867,20.822,23.44,0.0,618.56,1.59067,85333.3,7433.22,28270.6,368.917,45.2373,2.0,22.7307
18,13/03/2012,16:15,209.408,213.632,42.216,39.9227,20.8233,23.44,0.0,618.56,1.732,84587.9,7175.17,21476.7,320.448,45.0747,2.0,22.9373
19,13/03/2012,16:30,209.547,215.029,41.976,39.6133,21.2633,22.244,0.0,618.517,1.59,78588.6,6831.1,16318.5,271.723,45.072,2.0,23.2
20,13/03/2012,16:45,212.715,217.067,41.52,39.084,20.4807,23.44,0.0,617.92,1.94733,74555.4,6515.71,12792.5,222.443,44.128,2.0,23.436
21,13/03/2012,17:00,212.405,216.661,41.3253,38.3013,20.742,22.784,0.0,617.792,1.564,65830.9,5899.26,10106.2,173.835,43.2747,2.0,23.668
22,13/03/2012,17:15,212.064,216.672,40.8667,37.7867,20.84,23.5853,0.0,617.109,1.544,40424.4,4243.46,6537.22,101.244,43.6107,2.0,23.852
23,13/03/2012,17:30,211.211,216.299,40.9813,37.712,20.9207,23.2253,0.0,615.957,1.08867,3024.9,2229.25,2042.88,24.6653,45.8293,2.0,24.0213
24,13/03/2012,17:45,211.051,216.768,41.4107,37.748,19.4407,23.2427,0.0,615.36,0.844667,2207.74,1576.96,1512.45,15.57,47.0693,2.0,24.1413
25,13/03/2012,18:00,210.763,217.088,41.992,37.8373,11.5887,21.4213,0.0,614.592,1.442,1017.86,222.208,293.888,5.00933,49.5467,2.0,24.268
26,13/03/2012,18:15,210.571,215.616,43.1973,38.2173,11.5073,13.362,0.0,585.984,0.969333,0.0,0.0,0.0,-2.93933,52.2027,2.0,24.38
27,13/03/2012,18:30,209.92,216.107,43.8213,39.356,11.5073,13.1027,0.0,150.851,0.798667,0.0,0.0,0.0,-3.904,53.8053,2.0,24.0707
28,13/03/2012,18:45,209.792,215.477,44.3893,40.1587,11.5073,13.6067,0.0,4.60667,0.228,0.0,0.0,0.0,-3.708,54.928,2.0,23.588
29,13/03/2012,19:00,210.059,214.987,44.68,40.752,11.4427,13.0213,0.0,0.782,0.324,0.0,0.0,0.0,-3.64267,55.752,2.0,23.2867
30,13/03/2012,19:15,210.069,215.115,44.64,41.2507,11.426,13.5413,0.0,0.65,0.716,0.0,0.0,0.0,-3.708,56.0213,2.0,23.032
31,13/03/2012,19:30,209.909,216.0,44.8213,41.616,11.3113,12.7773,0.0,0.65,0.110667,0.0,0.0,0.0,-3.904,56.584,2.0,22.7747
32,13/03/2012,19:45,210.656,214.901,44.7493,42.0027,11.67,13.3787,0.0,0.65,0.661333,0.0,0.0,0.0,-3.57733,57.5387,2.0,22.5533
33,13/03/2012,20:00,210.667,214.549,44.5867,42.4373,11.524,13.0213,0.0,0.65,0.615333,0.0,0.0,0.0,-3.64267,57.9147,2.0,22.352
34,13/03/2012,20:15,209.877,213.888,44.3227,42.6267,11.6053,13.0213,0.0,0.65,0.458667,0.0,0.0,0.0,-3.64267,57.5893,2.0,22.1227
35,13/03/2012,20:30,210.315,213.675,44.4693,42.7493,11.7847,13.2153,0.0,0.65,0.132,0.0,0.0,0.0,-3.64267,57.1467,2.0,21.9347
36,13/03/2012,20:45,209.429,214.123,44.0507,42.808,11.4427,13.2653,0.0,0.65,0.119333,0.0,0.0,0.0,-3.512,57.1653,2.0,21.7133
37,13/03/2012,21:00,209.216,214.304,43.6827,42.8533,11.5887,12.5813,0.0,0.65,0.0,0.0,0.0,0.0,-3.38133,57.1813,2.0,21.5373
38,13/03/2012,21:15,210.539,215.275,43.8027,42.856,11.524,13.1827,0.0,0.65,0.0,0.0,0.0,0.0,-3.57733,57.2453,2.0,21.348
39,13/03/2012,21:30,211.04,216.832,43.624,42.9227,11.5887,12.8587,0.0,0.694,0.0,0.0,0.0,0.0,-3.38133,57.3653,2.0,21.148
40,13/03/2012,21:45,211.317,217.867,43.136,42.9413,11.524,12.8587,0.0,0.65,0.0,0.0,0.0,0.0,-3.44667,57.5253,2.0,20.9813
41,13/03/2012,22:00,212.384,218.891,43.2,43.016,11.6053,12.94,0.0,0.65,0.0,0.0,0.0,0.0,-3.512,57.712,2.0,20.8107
42,13/03/2012,22:15,213.163,219.68,42.8533,43.0853,11.524,13.1833,0.0,0.65,0.0,0.0,0.0,0.0,-3.44667,57.896,2.0,20.66
43,13/03/2012,22:30,213.472,219.744,42.7333,43.1307,11.7847,13.1027,0.0,0.65,0.0,0.0,0.0,0.0,-3.44667,58.0133,2.0,20.4753
44,13/03/2012,22:45,214.827,219.627,42.6853,43.1813,11.6053,13.184,0.0,0.65,0.0,0.0,0.0,0.0,-3.38133,57.928,2.0,20.3147
45,13/03/2012,23:00,214.336,219.797,42.1973,43.24,11.524,12.94,0.0,0.65,0.0,0.0,0.0,0.0,-3.512,58.048,2.0,20.164
46,13/03/2012,23:15,215.136,221.461,41.9947,43.2427,11.524,14.4027,0.0,0.65,0.0,0.0,0.0,0.0,-3.44667,58.0107,2.0,19.9967
47,13/03/2012,23:30,216.384,221.931,41.7573,43.248,11.6053,13.428,0.0,0.65,0.0,0.0,0.0,0.0,-3.316,57.864,2.0,19.846
48,13/03/2012,23:45,216.971,223.499,41.3467,43.2293,11.524,13.184,0.0,0.65,0.0,0.0,0.0,0.0,-3.18533,57.7173,2.0,19.6773
49,14/03/2012,00:00,217.835,223.381,41.432,43.1573,11.6053,13.0207,0.0,0.65,0.0,0.0,0.0,0.0,-3.25067,57.5627,2.06667,19.526
50,14/03/2012,00:15,219.115,223.637,41.0427,43.16,11.6053,13.5413,0.0,0.65,0.0,0.0,0.0,0.0,-3.316,57.472,3.0,19.3733
51,14/03/2012,00:30,219.2,225.131,41.0133,43.152,11.524,13.1027,0.0,0.738,0.0,0.0,0.0,0.0,-3.44667,57.7253,3.0,19.2087
52,14/03/2012,00:45,221.493,227.509,41.152,43.1573,11.524,13.2653,0.0,0.65,0.0,0.0,0.0,0.0,-3.44667,58.3413,3.0,19.0527
53,14/03/2012,01:00,222.229,226.208,41.152,43.24,11.5073,12.4353,0.0,0.65,0.0,0.0,0.0,0.0,-3.18533,58.496,3.0,18.8973
54,14/03/2012,01:15,222.155,226.091,41.0427,43.2613,11.6867,13.6387,0.0,0.65,0.0,0.0,0.0,0.0,-3.18533,58.1013,3.0,18.734
55,14/03/2012,01:30,222.741,225.301,40.9627,43.2187,11.524,13.2,0.0,0.65,0.0,0.0,0.0,0.0,-3.18533,57.44,3.0,18.5833
